"symbol","series","bond_type","coupr","face_value","maturity_date","ltP","bYield","date"
"NTPC-N1","N1","Regular","   8.41","1,000","16-DEC-23","1,467.00","-","Jan 25, 2019 15:59:59"
"IRFC-N9","N9","Tax Free","   8.48","-","18-FEB-24","1,169.10","-","Jan 25, 2019 15:59:59"
"IRFC-NF","NF","Tax Free","   7.07","1,000","21-DEC-25","1,030.00","-","Jan 25, 2019 15:59:59"
"M&MFIN-N3","N3","Taxable","   0.00","1,000","06-JUN-26","1,190.00","-","Jan 25, 2019 15:59:59"
"RECLTD-ND","ND","Tax Free","   8.61","1,000","24-MAR-34","-","-","Jan 25, 2019 15:59:59"
"TCFSL-NC","NC","Regular","   8.80","1,000","27-SEP-23","-","-","Jan 25, 2019 15:59:59"
"IRFC-NH","NH","Tax Free","   7.25","1,000","21-DEC-35","1,140.00","-","Jan 25, 2019 15:59:59"
"SREIBNPNCD-NM","NM","-","","-","-","-","-","Jan 25, 2019 15:59:59"
"SREIBNPNCD-NE","NE","-","","-","-","-","-","Jan 25, 2019 15:59:59"
"IBULHSGFIN-ND","ND","-","","-","-","-","-","Jan 25, 2019 15:59:59"
"ECLFINANCE-NH","NH","-","","-","-","985.00","-","Jan 25, 2019 15:59:59"
"SRTRANSFIN-Y3","Y3","Regular","  10.75","1,000","24-OCT-20","1,130.00","-","Jan 25, 2019 15:59:59"
"NHBTF2014-N4","N4","Regular","   8.51","5,000","13-JAN-24","5,550.00","-","Jan 25, 2019 15:59:59"
"IREDA-N1","N1","Regular","   8.16","1,000","13-MAR-24","1,200.00","-","Jan 25, 2019 15:59:59"
"RECLTD-NE","NE","Regular","   8.44","1,000","24-MAR-24","1,091.00","-","Jan 25, 2019 15:59:59"
"IRFC-NI","NI","Tax Free","   7.32","1,000","21-DEC-25","1,070.00","-","Jan 25, 2019 15:59:59"
"NHAI-N7","N7","Tax Free","   7.14","1,000","11-JAN-26","1,080.00","-","Jan 25, 2019 15:59:59"
"IREDA-N6","N6","Tax Free","   8.80","1,000","20-MAR-34","1,285.01","-","Jan 25, 2019 15:59:59"
"IBUCCREDIT-N2","N2","Regular","","1,000","25-SEP-20","977.00","-","Jan 25, 2019 15:59:59"
"IRFC-N5","N5","Tax Free","   6.88","1,000","23-MAR-23","1,035.00","-","Jan 25, 2019 15:59:59"
"JNPT-N1","N1","Tax Free","   6.82","1,000","25-MAR-23","1,059.00","-","Jan 25, 2019 15:59:59"
"HUDCO-N6","N6","Tax Free","   7.03","1,000","28-MAR-23","1,075.50","-","Jan 25, 2019 15:59:59"
"IRFC-NJ","NJ","Tax Free","   7.53","1,000","21-DEC-30","1,105.50","-","Jan 25, 2019 15:59:59"
"NHPC-N3","N3","Regular","   8.67","1,000","02-NOV-33","1,282.50","-","Jan 25, 2019 15:59:59"
"DHFL-NK","NK","-","","-","-","1,041.00","-","Jan 25, 2019 15:59:59"
"SREINFRA-Y7","Y7","-","","-","-","1,167.95","-","Jan 25, 2019 15:59:59"
"DHFL-NY","NY","-","","-","-","946.00","-","Jan 25, 2019 15:59:59"
"SREIBNPNCD-NT","NT","-","","-","-","823.00","-","Jan 25, 2019 15:59:59"
"SREINFRA-NW","NW","-","","-","-","813.00","-","Jan 25, 2019 15:59:59"
